
=== LoRA Training run: 2026-08-26T21:50:11 ===
step | epoch | metrics
1500 | 0.2862 | epoch=0.28623222974906976, grad_norm=0.3631107807159424, learning_rate=8.652475438258525e-05, loss=0.2522940254211426
1500 | 0.2862 | epoch=0.28623222974906976, eval_loss=0.250758558511734, eval_runtime=1100.0079, eval_samples_per_second=0.958, eval_steps_per_second=0.24, eval_wer=0.3909449319598118
1525 | 0.2910 | epoch=0.29100276691155424, grad_norm=0.33639371395111084, learning_rate=8.628395299556926e-05, loss=0.2623369026184082
1550 | 0.2958 | epoch=0.29577330407403873, grad_norm=0.4432157576084137, learning_rate=8.604315160855327e-05, loss=0.2339566993713379
1575 | 0.3005 | epoch=0.3005438412365232, grad_norm=0.4672467112541199, learning_rate=8.580235022153728e-05, loss=0.2458534049987793
1600 | 0.3053 | epoch=0.3053143783990077, grad_norm=0.58809494972229, learning_rate=8.556154883452129e-05, loss=0.24672861099243165

=== LoRA Training run: 2026-08-27T23:08:29 ===
step | epoch | metrics

=== LoRA Training run: 2026-08-27T23:44:19 ===
step | epoch | metrics

=== LoRA Training run: 2026-08-28T00:26:35 ===
step | epoch | metrics
1525 | 0.2910 | epoch=0.29100276691155424, grad_norm=0.3373385965824127, learning_rate=5.8117647058823534e-05, loss=0.26231760025024414
1550 | 0.2958 | epoch=0.29577330407403873, grad_norm=0.43959757685661316, learning_rate=5.7382352941176475e-05, loss=0.23379814147949218
1575 | 0.3005 | epoch=0.3005438412365232, grad_norm=0.4608636498451233, learning_rate=5.664705882352942e-05, loss=0.24586740493774414
1600 | 0.3053 | epoch=0.3053143783990077, grad_norm=0.5807215571403503, learning_rate=5.591176470588235e-05, loss=0.24682222366333006
1600 | 0.3053 | epoch=0.3053143783990077, eval_loss=0.24828031659126282, eval_runtime=711.3098, eval_samples_per_second=1.482, eval_steps_per_second=0.186, eval_wer=0.40258171181482894
1625 | 0.3101 | epoch=0.3100849155614922, grad_norm=0.485983669757843, learning_rate=5.51764705882353e-05, loss=0.22444675445556642
1650 | 0.3149 | epoch=0.3148554527239767, grad_norm=0.5216079354286194, learning_rate=5.444117647058824e-05, loss=0.2502104568481445
1675 | 0.3196 | epoch=0.31962598988646124, grad_norm=0.5784057378768921, learning_rate=5.370588235294118e-05, loss=0.20433637619018555
1700 | 0.3244 | epoch=0.3243965270489457, grad_norm=0.3604815900325775, learning_rate=5.2970588235294116e-05, loss=0.25016294479370116
1700 | 0.3244 | epoch=0.3243965270489457, eval_loss=0.24760372936725616, eval_runtime=635.3114, eval_samples_per_second=1.659, eval_steps_per_second=0.208, eval_wer=0.39164441053033194
1725 | 0.3292 | epoch=0.3291670642114302, grad_norm=0.3879430592060089, learning_rate=5.223529411764706e-05, loss=0.24471044540405273
1750 | 0.3339 | epoch=0.3339376013739147, grad_norm=0.3967784643173218, learning_rate=5.1500000000000005e-05, loss=0.26556135177612306
1775 | 0.3387 | epoch=0.3387081385363992, grad_norm=0.5550310611724854, learning_rate=5.0794117647058825e-05, loss=0.29675472259521485
1800 | 0.3435 | epoch=0.3434786756988837, grad_norm=0.3523942530155182, learning_rate=5.0058823529411766e-05, loss=0.2493967056274414
1800 | 0.3435 | epoch=0.3434786756988837, eval_loss=0.24655969440937042, eval_runtime=631.7707, eval_samples_per_second=1.668, eval_steps_per_second=0.209, eval_wer=0.3885921404044258
